,set,unit,cycle,T24,T30,T48,T50,P15,P2,P21,P24,Ps30,P40,P50,Nf,Nc,Wf
2252,DS08a,12.0,45.0,0.029437995,0.0711749,0.03843499,0.08883201,0.069730036,0.12015632,0.04000162,0.08127149,0.0601255,0.12496365,0.040307466,0.088127725,0.06922088,0.078215376
2253,DS08a,12.0,46.0,0.025452366,0.07625572,0.03460904,0.09634939,0.06658205,0.12123044,0.037254665,0.08578517,0.047304124,0.12751456,0.03738668,0.09545199,0.0663323,0.08249137
2254,DS08a,12.0,47.0,0.020129412,0.08147619,0.030430723,0.11243756,0.063499816,0.12608182,0.034826256,0.085547455,0.023426682,0.13142546,0.03488004,0.11277118,0.06324396,0.079823256
2255,DS08a,12.0,48.0,0.022741864,0.08107993,0.023115145,0.11120839,0.05654746,0.13227417,0.0279274,0.099047385,0.020385427,0.13932759,0.027607875,0.10874892,0.05672434,0.09326405
2256,DS08a,12.0,49.0,0.020302594,0.07353467,0.019709524,0.10063787,0.053906705,0.13722064,0.023454992,0.12249171,0.018878534,0.14407682,0.023284867,0.10123419,0.053832985,0.1074339
2257,DS08a,12.0,50.0,0.019416032,0.078021884,0.015542032,0.09846814,0.04861336,0.1420652,0.01918794,0.12832645,0.016150769,0.15233499,0.018744403,0.09894901,0.0488797,0.11530013
2258,DS08a,13.0,1.0,0.004241703,0.16983609,0.0011760725,0.13783714,0.0027985794,0.09293005,0.0011643338,0.16921712,0.0027351037,0.07908742,0.0011981858,0.17772062,0.0029211163,0.15713644
2259,DS08a,13.0,2.0,0.0010608357,0.15958402,0.0011258966,0.13808559,0.003813525,0.0911843,0.0015587603,0.17799684,0.0037862707,0.08973329,0.0015786497,0.16945553,0.003826077,0.15721041
2260,DS08a,13.0,3.0,0.023272254,0.13340823,0.014793505,0.08794678,0.03642965,0.05646285,0.022590771,0.1913343,0.033961657,0.055870343,0.0231212,0.090425886,0.03121679,0.19916585
2261,DS08a,13.0,4.0,0.024996335,0.22826877,0.0019554945,0.1319793,0.010817859,0.07065654,0.0024339068,0.14955978,0.010588571,0.06819728,0.0024395813,0.15623657,0.009947294,0.13192253
2262,DS08a,13.0,5.0,0.033420023,0.21607594,0.0024508883,0.11268262,0.018529855,0.065533504,0.005006752,0.16176642,0.018619891,0.06396716,0.004967326,0.13130422,0.016692113,0.14898328
2263,DS08a,13.0,6.0,0.01089004,0.18742597,0.0013816692,0.13520424,0.0057604476,0.08193253,0.0017796169,0.16808699,0.005760205,0.07795202,0.0018041502,0.1656242,0.005424311,0.15097347
2264,DS08a,13.0,7.0,0.037949163,0.20693824,0.0034548622,0.10041666,0.023386342,0.061430432,0.007301177,0.17371437,0.023153376,0.059795268,0.007283864,0.11365037,0.020372156,0.1611537
2265,DS08a,13.0,8.0,0.030863678,0.15788017,0.010451186,0.09535321,0.0307176,0.059180688,0.016337097,0.18039721,0.029575039,0.057999264,0.01657012,0.0991516,0.027807286,0.18771596
2266,DS08a,13.0,9.0,0.033083778,0.089877136,0.035209212,0.07031843,0.057021104,0.05928821,0.052944645,0.16789259,0.046327088,0.059345104,0.054197036,0.071331196,0.05091597,0.15224853
2267,DS08a,13.0,10.0,0.044162832,0.24695142,0.004745488,0.11364339,0.026653849,0.059097264,0.007872128,0.13556905,0.024606314,0.05833617,0.00803178,0.11834231,0.023870861,0.12811704
2268,DS08a,13.0,11.0,0.03176936,0.21817073,0.0030154467,0.118441,0.017821614,0.066128165,0.005072628,0.15695548,0.017677393,0.0644324,0.005049796,0.13422447,0.016475873,0.14476578
2269,DS08a,13.0,12.0,0.024172647,0.14546998,0.0130274845,0.091285504,0.038360633,0.05495727,0.022442523,0.17950068,0.035979506,0.054395936,0.022940591,0.092377335,0.033068575,0.19202147
2270,DS08a,13.0,13.0,0.01731147,0.07652753,0.017746758,0.05764446,0.045807146,0.04944883,0.0366026,0.23305626,0.043771744,0.049282186,0.0376815,0.05902428,0.041129746,0.23496532
2271,DS08a,13.0,14.0,0.03551214,0.1655212,0.00921879,0.09214453,0.03347709,0.05618998,0.017630896,0.1772891,0.032103483,0.05528668,0.017972259,0.09340024,0.030225523,0.18402795
2272,DS08a,13.0,15.0,0.0143821,0.1267717,0.014529395,0.088290766,0.035646234,0.06319883,0.021232095,0.2000086,0.032965258,0.06204318,0.021658009,0.09166856,0.031922262,0.19568297
2273,DS08a,13.0,16.0,0.017465813,0.03807749,0.04345511,0.037255906,0.062103994,0.041774414,0.060967848,0.23294316,0.054568015,0.042178992,0.06221098,0.036623314,0.05787253,0.21250255
2274,DS08a,13.0,17.0,0.020715721,0.071556576,0.019604208,0.061313678,0.058858916,0.05032995,0.054983113,0.18372288,0.05441992,0.051043596,0.056538638,0.061027292,0.05744575,0.19843972
2275,DS08a,13.0,18.0,0.021760259,0.027980736,0.023584051,0.030166518,0.06311334,0.04114891,0.06415271,0.23547189,0.058434244,0.04118715,0.06553077,0.030278906,0.05971124,0.23747934
2276,DS08a,13.0,19.0,0.023073541,0.04492821,0.04349784,0.045446735,0.06505839,0.037222438,0.0644264,0.19890675,0.059423387,0.037161686,0.06563561,0.04539921,0.06170569,0.20811404
2277,DS08a,13.0,20.0,0.018675102,0.030214602,0.023549736,0.033388857,0.061105065,0.040323306,0.059357226,0.2383987,0.057757623,0.040482733,0.060846332,0.033132717,0.056595623,0.24617244
2278,DS08a,13.0,21.0,0.029143894,0.03447242,0.05334753,0.030506121,0.07257813,0.03921827,0.074345596,0.20485054,0.06073139,0.039232574,0.07555897,0.030873312,0.06998911,0.1851521
2279,DS08a,13.0,22.0,0.055342827,0.036380537,0.067867026,0.034405597,0.091346085,0.04309616,0.09689154,0.13027251,0.06367,0.042800006,0.09788663,0.035133522,0.08893344,0.11597401
2280,DS08a,13.0,23.0,0.04030263,0.034579724,0.06274559,0.031773344,0.08020625,0.039097082,0.08754393,0.17331421,0.06302766,0.03904104,0.0885468,0.032622132,0.07738012,0.14981945
2281,DS08a,13.0,24.0,0.021986831,0.0400936,0.051051006,0.039953463,0.06862252,0.033514746,0.07068815,0.19868134,0.06252472,0.03320712,0.07168419,0.040599503,0.06635279,0.20104004
2282,DS08a,13.0,25.0,0.026535304,0.030519273,0.056528986,0.027510608,0.07166454,0.0318683,0.07438996,0.21085294,0.06410879,0.031378016,0.075360745,0.02830445,0.07004178,0.20093621
2283,DS08a,13.0,26.0,0.030163754,0.029048963,0.06488891,0.02845014,0.077295996,0.0308877,0.08524789,0.19220081,0.06537618,0.030503578,0.08602322,0.029289518,0.07624656,0.1743769
2284,DS08a,13.0,27.0,0.023907546,0.032534704,0.034441672,0.023735845,0.07073314,0.03525636,0.0738235,0.21828046,0.06592607,0.034778677,0.07435576,0.025164274,0.070133604,0.21692842
2285,DS08a,13.0,28.0,0.02493231,0.029310802,0.052336477,0.023821494,0.07178309,0.031568296,0.07614149,0.2156421,0.065253675,0.031143427,0.07636482,0.024692943,0.07161848,0.20539054
2286,DS08a,13.0,29.0,0.027589794,0.025458967,0.06743878,0.027382324,0.07561642,0.02792509,0.083289556,0.19939768,0.06559057,0.02764462,0.08346934,0.02772312,0.07603537,0.18543841
2287,DS08a,13.0,30.0,0.031138325,0.029063845,0.066044174,0.037490275,0.07316759,0.03593723,0.087927446,0.1837208,0.060237784,0.036206547,0.08725594,0.037206598,0.07476927,0.15983412
2288,DS08a,13.0,31.0,0.027665911,0.030227246,0.06140434,0.041256152,0.06818662,0.039138466,0.07593715,0.19397762,0.05617801,0.039403148,0.075371936,0.040353253,0.06948256,0.18141766
2289,DS08a,13.0,32.0,0.026250908,0.04112133,0.03367473,0.03644569,0.06594372,0.04479913,0.07010136,0.19774844,0.061704606,0.04576,0.06957006,0.03753288,0.06749664,0.20185031
2290,DS08a,13.0,33.0,0.021339197,0.029064404,0.055636965,0.040651713,0.058427274,0.03977,0.06513632,0.22159067,0.05248056,0.040136985,0.064039834,0.039790653,0.060108304,0.21182713
2291,DS08a,13.0,34.0,0.02380915,0.033610925,0.051808957,0.04992452,0.059571005,0.046290457,0.06264239,0.20728905,0.04898135,0.04778961,0.062248394,0.047512516,0.060097963,0.19842377
2292,DS08a,13.0,35.0,0.027021697,0.05438542,0.029565856,0.09814514,0.042252477,0.08599586,0.05105213,0.16962963,0.02970187,0.090866394,0.05151224,0.092079364,0.04092545,0.13686636
2293,DS08a,13.0,36.0,0.019143375,0.046688877,0.03930517,0.072047584,0.053925913,0.064646706,0.045894984,0.19194534,0.038757537,0.06693271,0.04653038,0.067715675,0.052247595,0.1942181
2294,DS08a,13.0,37.0,0.03864336,0.065856576,0.04243695,0.09821957,0.06999906,0.101308875,0.04974228,0.10524233,0.026952919,0.10494961,0.050226588,0.0892383,0.06894974,0.08823382
2295,DS08a,13.0,38.0,0.017867416,0.101709895,0.019911693,0.15203767,0.031021003,0.10072717,0.033233352,0.113828175,0.017895741,0.109647885,0.032913834,0.13810314,0.03126145,0.09984154
2296,DS08a,13.0,39.0,0.029445969,0.102121376,0.023050351,0.14544341,0.039597727,0.11196984,0.03432474,0.09519477,0.016348891,0.119321056,0.034008358,0.12900357,0.03993751,0.08023231
2297,DS08a,13.0,40.0,0.006268355,0.14888734,0.00897821,0.19251299,0.011319486,0.10654732,0.017930238,0.09216124,0.010465497,0.115265906,0.017110305,0.17717524,0.012319783,0.08305809
2298,DS08a,13.0,41.0,0.027216675,0.1241272,0.017164834,0.16256075,0.031856712,0.12929331,0.020332433,0.0804841,0.0103822835,0.13451163,0.019629177,0.14341764,0.032952346,0.0660708
2299,DS08a,13.0,42.0,0.006914656,0.15363237,0.0054471632,0.1966426,0.009310989,0.1244301,0.008564696,0.08608899,0.0057035247,0.12826408,0.008428519,0.18441126,0.009426742,0.07273442
2300,DS08a,13.0,43.0,0.0066614402,0.105968915,0.005030729,0.14159226,0.018868748,0.14665852,0.0077169426,0.14491121,0.022445232,0.1436046,0.007863566,0.1325974,0.018735968,0.0973444
2301,DS08a,13.0,44.0,0.004705672,0.18221845,0.004299169,0.20299158,0.008409897,0.120236054,0.0062680645,0.0778167,0.003958233,0.12263577,0.006379783,0.19194856,0.008205636,0.05992649
2302,DS08a,13.0,45.0,0.0065762782,0.12408913,0.0036315233,0.1778196,0.009091607,0.14949338,0.0061196517,0.104191616,0.013669058,0.14559866,0.006362514,0.1714008,0.0087337885,0.07322239
2303,DS08a,13.0,46.0,0.0037704566,0.14245038,0.00294873,0.20279486,0.0058558467,0.14471439,0.0054700156,0.07825212,0.0036996407,0.1420642,0.005703937,0.197381,0.0055408888,0.05935355
2304,DS08a,13.0,47.0,0.00947919,0.109880574,0.00358992,0.15019448,0.016744452,0.17010038,0.006120464,0.103020914,0.026705353,0.1606671,0.006344686,0.14544292,0.016502988,0.075206615
2305,DS08a,13.0,48.0,0.0020408866,0.14074177,0.0023551031,0.20513692,0.003917767,0.14654818,0.005270617,0.078615315,0.0034455664,0.14206618,0.005366936,0.20158766,0.0037229953,0.059184168
2306,DS08a,14.0,1.0,0.013252532,0.1776063,0.0031229258,0.12397102,0.011961575,0.07809475,0.004479567,0.17620616,0.0119593525,0.07448722,0.004486721,0.14718294,0.011023321,0.16216572
2307,DS08a,14.0,2.0,0.019611167,0.21253218,0.0016556601,0.13091984,0.008748554,0.07342159,0.0020967193,0.16664316,0.008752102,0.07137471,0.0021144417,0.15286921,0.008035157,0.14122556
2308,DS08a,14.0,3.0,0.022461656,0.112683564,0.020238163,0.07506351,0.05110825,0.055848215,0.04204075,0.18982844,0.043973684,0.054006483,0.043410696,0.077517994,0.03793146,0.17388713
2309,DS08a,14.0,4.0,0.030760353,0.22572708,0.0020183816,0.12625843,0.0146036185,0.06908189,0.003294333,0.15542896,0.01443878,0.06760924,0.003292592,0.13821594,0.014045507,0.13522486
2310,DS08a,14.0,5.0,0.035524208,0.21691816,0.003913707,0.10744431,0.027412465,0.06274028,0.00897927,0.16093834,0.025920551,0.061553933,0.009211664,0.11053989,0.024729835,0.14417341
2311,DS08a,14.0,6.0,0.0130646825,0.17390227,0.0030190318,0.12276921,0.013788033,0.07924901,0.004797981,0.18347445,0.013706033,0.077060394,0.0048057274,0.13569169,0.0132352775,0.16143614
2312,DS08a,14.0,7.0,0.018792251,0.066030346,0.012901501,0.06419039,0.047605056,0.051044617,0.038824264,0.21934865,0.044364773,0.05135431,0.04031443,0.062788114,0.040596943,0.24184442
2313,DS08a,14.0,8.0,0.021155663,0.094445676,0.025439482,0.07648599,0.051789656,0.05910612,0.042224783,0.18716644,0.044494074,0.059212495,0.043570615,0.074389,0.041191716,0.17932831
2314,DS08a,14.0,9.0,0.013550317,0.03899454,0.01960357,0.045518644,0.056962006,0.0473652,0.049067598,0.23829655,0.051530506,0.04808258,0.05100973,0.04335419,0.049714856,0.24694967
